Month ∆,T (ºC),T. max ave. (ºC),T. min ave. (ºC),T. max abs. (ºC),T. min abs. (ºC),Prec. (mm),Days 1 mm,Days 0.1 mm,Days snow,Days storm,Days fog,Days frost,F-TM,F-Tm,F-R
MAY 2013,15.4,21.8,8.9,27.4,5.8,55.0,12,18,0,19,0,0,100%,96%,93%
JUNE 2013,20.4,28.4,12.5,33.6,7.6,6.0,1,1,0,6,0,0,96%,100%,93%
JULY 2013,23.5,31.7,15.2,35.2,12.4,0.0,0,0,0,1,0,0,100%,98%,100%
AUGUST 2013,22.5,30.2,14.8,34.0,11.0,0.1,0,1,0,2,0,0,100%,100%,100%
SEPTEMBER 2013,18.8,28.1,9.4,34.4,6.2,0.0,0,0,0,0,0,0,100%,100%,96%
OCTOBER 2013,11.5,19.0,4.1,28.0,0.0,9.2,3,4,0,2,0,1,100%,100%,100%
NOVEMBER 2013,7.9,13.3,2.5,18.0,-1.6,62.0,6,9,0,3,1,6,98%,96%,100%
DECEMBER 2013,-5.2,-0.5,-9.9,15.8,-17.6,41.8,6,10,17,1,9,31,100%,96%,100%
JANUARY 2014,-2.1,2.7,-6.9,11.6,-14.8,31.9,2,6,10,0,6,29,100%,87%,100%
FEBRUARY 2014,1.6,7.6,-4.5,16.0,-12.8,1.4,1,3,4,0,0,25,100%,92%,92%
MARCH 2014,8.2,14.5,1.9,20.0,-4.6,48.2,6,9,2,2,0,9,100%,100%,100%
APRIL 2014,12.5,19.4,5.5,25.6,-6.0,21.7,5,11,0,7,0,4,100%,100%,96%
MAY 2014,17.2,24.6,9.7,29.0,5.2,56.6,8,10,0,13,0,0,95%,95%,100%
JUNE 2014,21.2,29.7,12.6,35.0,8.6,2.2,1,2,0,9,0,0,100%,100%,96%
JULY 2014,24.4,32.7,16.0,39.0,11.8,0.0,0,0,0,2,0,0,96%,100%,90%
AUGUST 2014,24.8,33.7,15.9,36.2,10.6,0.0,0,0,0,5,0,0,100%,100%,96%
SEPTEMBER 2014,20.0,29.4,10.7,34.2,5.8,3.2,2,3,1,4,0,0,100%,100%,93%
OCTOBER 2014,12.0,17.9,6.1,24.8,-1.0,160.5,6,10,2,8,2,1,98%,96%,93%
NOVEMBER 2014,5.2,10.5,-0.1,16.4,-5.4,28.6,4,9,1,2,4,17,100%,100%,96%
DECEMBER 2014,2.7,7.0,-1.5,11.8,-5.6,11.5,5,7,1,1,5,20,95%,95%,100%
JANUARY 2015,1.0,7.3,-5.3,12.0,-10.2,3.0,1,4,6,0,1,30,98%,100%,100%
FEBRUARY 2015,3.3,9.3,-2.6,15.0,-7.0,35.2,4,6,6,0,0,25,100%,100%,100%
MARCH 2015,6.7,13.1,0.2,18.4,-7.8,13.9,5,7,1,2,0,17,97%,100%,100%
APRIL 2015,12.0,19.6,4.4,29.0,-2.0,9.5,2,5,0,3,0,2,100%,96%,100%
MAY 2015,16.8,24.5,9.1,29.8,5.0,42.2,8,14,0,15,0,0,100%,100%,100%
JUNE 2015,22.5,31.2,13.8,36.0,10.6,3.1,1,3,0,4,0,0,100%,100%,100%
JULY 2015,25.5,34.1,17.0,39.9,10.6,0.0,0,0,0,0,0,0,100%,100%,96%
AUGUST 2015,23.8,32.6,15.0,38.2,10.6,10.0,1,2,0,3,0,0,100%,100%,100%
SEPTEMBER 2015,20.3,28.7,11.9,32.6,7.0,2.4,1,4,0,8,0,0,100%,100%,100%
OCTOBER 2015,14.5,20.8,8.3,29.6,1.0,42.2,5,9,0,4,0,0,100%,96%,100%
NOVEMBER 2015,6.0,11.9,0.0,16.4,-3.6,32.0,5,9,0,1,2,16,100%,96%,100%
DECEMBER 2015,-2.9,0.9,-6.7,15.4,-12.0,53.8,8,9,10,1,7,30,96%,93%,96%
JANUARY 2016,-0.2,4.7,-5.0,10.4,-14.8,54.0,6,7,4,2,0,27,100%,100%,100%
FEBRUARY 2016,4.5,10.1,-1.1,17.4,-7.0,11.0,3,5,2,0,0,20,100%,100%,100%
MARCH 2016,7.4,13.3,1.4,18.4,-3.7,33.2,7,9,4,1,1,11,100%,96%,100%
APRIL 2016,12.3,19.0,5.5,27.2,-0.6,54.9,5,5,1,5,0,2,100%,96%,93%
MAY 2016,16.9,24.0,9.8,28.4,4.6,42.7,6,9,0,13,0,0,100%,100%,96%
JUNE 2016,20.5,28.1,12.9,34.6,8.4,25.7,6,7,0,14,0,0,96%,100%,96%
